"PLT_CN","ABCO_met","ABMA_met","ABSH_met","ACMA_met","CADE_met","JUNIPER_met","PICO_met","PIJE_met","PILA_met","PIMO_met","PIPO_met","POBA_met","PSME_met","QUCH_met","QUKE_met","hardwood.ba","conifer.ba","AB_PI","INVYR","ELEV_met","COND_STATUS_CD","STDAGE","FORTYPCD","OWNGRPCD","DSTRBCD1","CONDPROP_UNADJ","GSSTKCD","BALIVE","x.coord","y.coord","number.conditions","MEANING","DENS_12plus","DENS_12_24","DENS_24_36","DENS_36plus","BALIVE_sqmha"
48203487010497,17.4959269352784,9.69377183799481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1896987732733,1,2011,1737.27522096922,1,25,371,10,0,1,3,165.3741,-121.02796,39.747014,1,"California mixed conifer",101.56712626637,89.2223276501112,2.46895972325179,9.87583889300716,27.1896987732733
48203583010497,0,0,0,0,0,0,9.14076011352859,0,0,0,10.380100395804,0,0,0,0,0,19.5208605093326,0,2011,1920.14629686071,1,100,281,10,0,1,3,148.0654,-121.133484,40.543676,1,"Lodgepole pine",128.838942426489,118.963103533482,9.87583889300716,0,19.5208605093326
48203584010497,5.99644709955525,12.4252430130425,0,0,0,0,0,6.42137699900548,0,0,0,0,0,0,0,0,24.8430671116032,0.741522374425085,2011,2103.01737275221,1,260,371,10,0,1,4,109.1011,-121.264747,40.549172,1,"California mixed conifer",37.0343958487769,0,22.2206375092661,14.8137583395107,24.8430671116032
48203684010497,33.5362480401461,0,0,0,0,0,0,0,1.62827829779818,0,2.92433025402609,0,3.10517471303463,0,0,0,41.194031305005,0.880474003181707,2011,1615.36117037489,1,52,261,10,0,1,2,221.1395,-121.784113,40.791045,1,"White fir",275.073862120089,267.666982950334,7.40687916975537,0,41.194031305005
48204503010497,9.15818130883124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15818130883124,1,2011,1920.14629686071,1,65,261,10,22,1,3,116.957,-120.573538,39.890093,1,"White fir",64.4194712132444,59.4815517667408,2.46895972325179,2.46895972325179,9.15818130883124
48204836010497,11.96042793861,0,0,0,41.4003527373739,0,0,0,13.5064802422053,0,0,0,20.5016766487779,0,0,0,87.3689375669672,0.469645857820307,2011,1493.44711978055,1,185,371,10,52,1,1,425.3038,-121.585279,40.298095,1,"California mixed conifer",250.044487274524,178.444655300222,32.0964764022733,39.5033555720287,87.3689375669672
48204842010497,32.6554877489815,13.992872229273,0,0,0,0,0,0,1.7180977124391,0,0,0,4.25357991569023,0,0,0,52.6200376063839,0.964477495469558,2011,1920.14629686071,1,120,261,10,0,1,2,301.0065,-120.897375,40.188463,1,"White fir",212.953461823573,163.574267358537,34.5654361255251,14.8137583395107,52.6200376063839
48204843010497,0,0,0,0,0,0,0,0,0,0,18.0267262106326,0,0,0,14.7601014440644,14.7601014440644,18.0267262106326,0,2011,1127.70496799756,1,100,221,40,0,1,2,199.9806,-120.859289,40.104174,1,"Ponderosa pine",245.333086236719,237.926207066963,7.40687916975537,0,32.786827654697
48204846010497,5.77923335650567,0,0,0,7.40535454082615,0,0,0,2.63497911961242,0,9.78423469446121,0,2.77777089037125,0,0,0,28.3815726017767,0.317567389257734,2011,1310.57604388906,1,75,371,10,0,1,2,230.4489,-121.026436,39.902298,1,"California mixed conifer",178.388025698048,163.574267358537,9.87583889300716,4.93791944650358,28.3815726017767
48204921010497,0,0,0,0,0,0,0,1.81032838653345,0,0,10.9205940646627,0,0,0,1.31293077240203,1.31293077240203,12.7309224511961,0,2011,1371.53306918622,1,80,221,40,0,1,3,78.9819,-121.1724,41.032084,1,"Ponderosa pine",133.833491475167,133.833491475167,0,0,14.0438532235981
48204964010497,0,0,0,0,7.94586310978101,1.29311323376902,0,9.09479044563477,0,0,0,0,3.32301693428201,0,0,0,21.6567837234668,0,2011,1798.23224626638,1,100,371,10,60,1,3,128.167,-120.572929,40.043297,1,"California mixed conifer",99.0415369409439,74.351939708426,24.6895972325179,0,21.6567837234668
