site,id,elev_mean,slope,aspect_num,aspect_cat,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110
lassen,27061211,1459.229208799256,2.6652830381410455,83.43531799316406,NE,515.8016357421875,80.00517463684082,400.46083068847656,251.43025588989258,986.1133270263672,16.05417490005493
lassen,27062509,1462.7320866660466,16.604584054104865,171.72344970703125,SW,512.7366638183594,74.132232666015625,398.9311014811198,265.84300231933594,1045.5388997395833,15.676666577657064
lassen,27061209,1431.754263587457,5.075072511530719,198.40206909179688,SW,521.1549987792969,84.34700012207031,400.88499450683594,225.6446533203125,978.0199890136719,16.270000457763672
lassen,27032402,1250.268945300299,13.814624986786773,156.94369506835938,SW,562.1400146484375,99.00270080566406,485.3699951171875,73.84369659423828,1459.443359375,17.516700744628906
lassen,27041807,1556.9922605451013,28.058596382708892,273.2044982910156,SW,590.9033203125,112.96600341796875,382.44000244140625,207.64199829101562,1497.623291015625,16.260000228881836
lassen,27072901,1655.0816750215918,9.037085294524177,40.45655059814453,NE,559.85333251953125,104.14665222167969,361.489990234375,261.8474884033203,1077.6533813476562,15.543350219726562
lassen,27072214,1329.6083810605044,17.843285303594847,248.72622680664062,SW,572.91583251953125,107.67147445678711,379.217529296875,157.15374755859375,997.66497802734375,16.788300037384033
lassen,27071807,1396.2130795271037,4.32523734675727,159.36419677734375,SW,519.1516418457031,85.54499816894531,402.7666473388672,214.04035186767578,988.30999755859375,16.38330078125
lassen,27060432,1474.0110535145739,5.966495512901767,50.26426696777344,NE,326.32164001464844,0.05299999937415123,569.66668701171875,308.9272003173828,1001.375,15.828350067138672
lassen,27040310,1439.663168240698,19.05435886311715,45.52104568481445,NE,486.1624755859375,66.51267623901367,434.8191452026367,410.80690002441406,1653.2149963378906,16.143324851989746
lassen,27040710,1675.3745972645625,11.172550987890755,188.18109130859375,SW,448.02113850911456,46.95903396606445,425.4211018880208,429.7380065917969,1493.1766764322917,15.022233009338379
